,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
1157,Coritiba,0–1,Flamengo,,Rodrigo D'Alonso Ferreira,0,1,"https://fbref.com/en/matches/31e88155/Coritiba-Flamengo-August-15-2020-Serie-A"">Match Report",33%,67%,75%,89%,38%,44%,75%,100%,25,4,13,417,12,7,6,16,2,4,27,50,16,5,18,690,15,11,12,10,1,6,13,58
1158,Palmeiras,1–1,Goiás,,Paulo Roberto Alves Júnior,1,1,"https://fbref.com/en/matches/75ddaed1/Palmeiras-Goias-August-15-2020-Serie-A"">Match Report",67%,33%,87%,75%,25%,55%,66%,66%,11,6,26,881,23,18,19,7,0,6,21,46,16,2,5,520,17,15,13,28,0,15,17,74
1159,Atlético Mineiro,2–0,Ceará,,Savio Pereira,2,0,"https://fbref.com/en/matches/5ce07474/Atletico-Mineiro-Ceara-August-16-2020-Serie-A"">Match Report",61%,39%,83%,77%,50%,7%,100%,50%,14,4,21,631,13,4,12,9,2,11,22,65,15,0,8,464,17,11,13,21,1,12,15,70
1160,Bahia,2–1,Bragantino,,Felipe Fernandes de Lima,2,1,"https://fbref.com/en/matches/e0af57ea/Bahia-Bragantino-August-16-2020-Serie-A"">Match Report",42%,58%,75%,82%,50%,18%,66%,40%,16,3,8,576,15,19,16,32,2,9,15,53,16,7,24,693,15,15,17,4,1,5,22,50
1161,Vasco da Gama,2–1,São Paulo,,Wilton Sampaio,2,1,"https://fbref.com/en/matches/c9fe2c17/Vasco-da-Gama-Sao-Paulo-August-16-2020-Serie-A"">Match Report",41%,60%,82%,87%,38%,54%,57%,33%,16,3,8,552,18,19,11,25,1,6,19,62,15,4,21,717,13,5,12,7,1,7,25,40
1162,Fluminense,2–1,Internacional,,Raphael Claus,2,1,"https://fbref.com/en/matches/cd162990/Fluminense-Internacional-August-16-2020-Serie-A"">Match Report",44%,57%,76%,78%,70%,33%,33%,42%,13,1,9,550,18,13,16,14,1,5,24,48,24,4,16,611,27,6,20,5,1,4,23,66
1163,Atl Goianiense,1–1,Sport Recife,,Grazianni Maciel Rocha,1,1,"https://fbref.com/en/matches/a91d8d20/Atletico-Goianiense-Sport-Recife-August-16-2020-Serie-A"">Match Report",32%,68%,67%,83%,36%,29%,60%,75%,13,4,15,417,10,18,12,34,0,14,14,52,15,9,34,682,7,10,20,11,2,6,30,41
1164,Fortaleza,0–0,Botafogo (RJ),,Marielson Alves Silva,0,0,"https://fbref.com/en/matches/9234a72e/Fortaleza-Botafogo-RJ-August-16-2020-Serie-A"">Match Report",58%,42%,91%,87%,8%,40%,100%,100%,9,4,17,709,10,13,14,12,2,10,14,31,8,7,20,539,10,9,14,16,1,10,11,38
1165,Santos,3–1,Atl Paranaense,,Anderson Daronco,3,1,"https://fbref.com/en/matches/9d4037a0/Santos-Atletico-Paranaense-August-16-2020-Serie-A"">Match Report",33%,67%,77%,89%,55%,15%,50%,50%,9,2,12,477,17,13,8,28,0,11,21,55,22,6,28,769,12,8,12,13,0,7,27,61
1166,Flamengo,1–1,Grêmio,,Rafael Traci,1,1,"https://fbref.com/en/matches/57597954/Flamengo-Gremio-August-19-2020-Serie-A"">Match Report",60%,40%,88%,80%,38%,20%,50%,33%,17,1,11,755,12,18,13,4,1,7,20,49,20,2,7,531,15,11,8,10,3,8,14,52
1167,Bragantino,2–1,Fluminense,,Jean Pierre Goncalves Lima,2,1,"https://fbref.com/en/matches/3394a735/Bragantino-Fluminense-August-19-2020-Serie-A"">Match Report",52%,48%,82%,80%,31%,44%,75%,25%,19,6,24,645,19,16,18,12,2,9,25,50,14,4,19,629,15,7,10,20,0,7,33,38
1168,Atl Paranaense,0–1,Palmeiras,,Caio Max Augusto Vieira,0,1,"https://fbref.com/en/matches/aeeceb4b/Atletico-Paranaense-Palmeiras-August-19-2020-Serie-A"">Match Report",56%,44%,80%,78%,0%,30%,66%,%,20,5,18,633,14,5,18,16,0,6,33,83,19,7,23,534,18,4,14,19,2,8,27,65
1169,Internacional,3–0,Atl Goianiense,,Wagner Reway,3,0,"https://fbref.com/en/matches/fff84a6d/Internacional-Atletico-Goianiense-August-19-2020-Serie-A"">Match Report",57%,43%,84%,73%,45%,25%,50%,40%,19,4,20,609,8,11,12,10,1,8,24,70,17,3,15,484,14,18,17,12,2,8,21,46
1170,Goiás,1–3,Fortaleza,,Dyorgines José Padovani Andrade,1,3,"https://fbref.com/en/matches/78d8f023/Goias-Fortaleza-August-19-2020-Serie-A"">Match Report",47%,53%,79%,79%,36%,23%,0%,60%,16,2,14,509,24,13,16,12,3,5,19,57,15,6,11,554,21,11,11,15,2,9,22,64
1171,Corinthians,3–1,Coritiba,,Braulio da Silva Machado,3,1,"https://fbref.com/en/matches/9cf22477/Corinthians-Coritiba-August-19-2020-Serie-A"">Match Report",63%,37%,92%,83%,57%,44%,75%,69%,15,10,32,758,15,17,20,6,0,8,13,42,7,0,8,529,8,5,6,20,3,16,26,50
1172,Botafogo (RJ),2–1,Atlético Mineiro,,Flavio Rodrigues De Souza,2,1,"https://fbref.com/en/matches/dd1656fd/Botafogo-RJ-Atletico-Mineiro-August-19-2020-Serie-A"">Match Report",26%,74%,63%,87%,50%,29%,88%,60%,9,7,16,411,12,16,21,36,1,19,8,75,10,16,33,817,18,9,18,14,2,5,22,31
1173,Sport Recife,0–1,Santos,,Jose Mendonca da Silva Junior,0,1,"https://fbref.com/en/matches/534de082/Sport-Recife-Santos-August-20-2020-Serie-A"">Match Report",41%,59%,77%,85%,42%,31%,80%,100%,23,4,21,503,8,7,14,9,1,12,16,45,17,5,15,700,18,9,10,15,1,6,16,68
1174,Ceará,0–3,Vasco da Gama,,Thiago Duarte Peixoto,0,3,"https://fbref.com/en/matches/ae0a6ee3/Ceara-Vasco-da-Gama-August-20-2020-Serie-A"">Match Report",58%,42%,86%,81%,9%,80%,25%,100%,18,13,40,680,18,14,15,11,1,3,15,50,14,2,8,550,18,8,14,29,2,12,15,46
1175,São Paulo,1–1,Bahia,,Rodrigo Carvalhaes de Miranda,1,1,"https://fbref.com/en/matches/000a7a7e/Sao-Paulo-Bahia-August-20-2020-Serie-A"">Match Report",68%,32%,91%,68%,25%,56%,60%,66%,14,5,37,816,13,5,19,8,4,8,24,34,16,6,8,451,12,8,19,21,1,17,16,64
1176,Atl Paranaense,0–1,Fluminense,,Daniel Nobre Bins,0,1,"https://fbref.com/en/matches/263bfa2d/Atletico-Paranaense-Fluminense-August-22-2020-Serie-A"">Match Report",65%,35%,87%,74%,36%,36%,50%,100%,21,7,37,818,14,14,19,9,1,5,23,77,12,2,11,532,16,14,14,24,2,10,22,44
1177,Internacional,1–0,Atlético Mineiro,,Luiz Flávio de Oliveira,1,0,"https://fbref.com/en/matches/23c85ed3/Internacional-Atletico-Mineiro-August-22-2020-Serie-A"">Match Report",33%,67%,62%,81%,67%,9%,0%,50%,20,2,9,495,18,12,18,29,3,10,16,85,21,5,16,820,11,16,24,9,1,3,22,61
1178,Goiás,2–0,Atl Goianiense,,Wilton Sampaio,2,0,"https://fbref.com/en/matches/204ef735/Goias-Atletico-Goianiense-August-22-2020-Serie-A"">Match Report",34%,66%,68%,82%,33%,25%,100%,0%,26,3,13,493,25,24,20,30,5,13,20,75,19,11,30,736,13,8,24,11,2,6,29,56
1179,Flamengo,1–1,Botafogo (RJ),,Leandro Pedro Vuaden,1,1,"https://fbref.com/en/matches/31374137/Flamengo-Botafogo-RJ-August-23-2020-Serie-A"">Match Report",67%,33%,89%,78%,33%,14%,0%,80%,15,5,26,825,9,12,17,13,0,6,20,36,17,4,14,494,14,20,5,29,2,5,18,57
1180,Palmeiras,2–1,Santos,,Vinicius Gonçalves Dias Araujo,2,1,"https://fbref.com/en/matches/ef4568b6/Palmeiras-Santos-August-23-2020-Serie-A"">Match Report",49%,51%,78%,75%,28%,20%,100%,60%,21,5,16,525,5,12,23,16,4,9,12,58,14,6,17,531,8,13,7,14,0,9,14,55
1181,Bragantino,1–2,Coritiba,,Gilberto Rodrigues Castro Junior,1,2,"https://fbref.com/en/matches/80f73493/Bragantino-Coritiba-August-23-2020-Serie-A"">Match Report",47%,53%,81%,75%,13%,57%,50%,50%,17,10,32,541,12,14,7,6,1,4,25,37,18,3,8,587,28,12,11,22,2,14,21,64
1182,Vasco da Gama,0–0,Grêmio,,Savio Pereira,0,0,"https://fbref.com/en/matches/191a9315/Vasco-da-Gama-Gremio-August-23-2020-Serie-A"">Match Report",47%,53%,81%,83%,30%,29%,100%,100%,23,6,12,610,19,16,16,9,1,6,20,50,17,4,13,670,25,10,13,10,0,6,19,44
1183,Sport Recife,0–1,São Paulo,,Rodrigo D'Alonso Ferreira,0,1,"https://fbref.com/en/matches/0680a072/Sport-Recife-Sao-Paulo-August-23-2020-Serie-A"">Match Report",55%,45%,87%,84%,20%,36%,75%,100%,21,0,14,667,12,12,10,8,1,5,16,56,25,3,13,576,13,5,7,18,0,10,12,50
1184,Ceará,2–0,Bahia,,Wagner do Nascimento Magalhaes,2,0,"https://fbref.com/en/matches/8e989907/Ceara-Bahia-August-23-2020-Serie-A"">Match Report",38%,62%,77%,85%,36%,44%,100%,50%,21,6,15,530,20,12,21,28,1,7,21,53,7,11,32,751,12,8,21,9,1,7,24,50
1185,São Paulo,1–0,Atl Paranaense,,Marcelo de Lima Henrique,1,0,"https://fbref.com/en/matches/aea94505/Sao-Paulo-Atletico-Paranaense-August-26-2020-Serie-A"">Match Report",57%,43%,88%,81%,31%,60%,100%,100%,13,4,27,811,16,21,9,11,3,4,24,65,16,1,9,650,22,16,11,25,1,9,17,64
1186,Corinthians,1–1,Fortaleza,,Rodolpho Toski Marques,1,1,"https://fbref.com/en/matches/7ec6afe5/Corinthians-Fortaleza-August-26-2020-Serie-A"">Match Report",59%,41%,86%,81%,33%,27%,66%,85%,14,5,14,736,9,12,8,5,0,9,20,50,12,1,8,567,14,10,16,19,5,12,17,74
1187,Botafogo (RJ),0–2,Internacional,,Thiago Duarte Peixoto,0,2,"https://fbref.com/en/matches/e81dc3c6/Botafogo-RJ-Internacional-August-29-2020-Serie-A"">Match Report",49%,51%,84%,86%,50%,57%,50%,50%,14,5,16,615,9,9,6,5,2,5,14,53,24,3,4,651,12,10,13,26,2,5,12,70
1188,Fluminense,2–1,Vasco da Gama,,Braulio da Silva Machado,2,1,"https://fbref.com/en/matches/b40866be/Fluminense-Vasco-da-Gama-August-29-2020-Serie-A"">Match Report",46%,54%,86%,85%,25%,44%,75%,33%,19,2,9,631,13,21,10,8,1,6,21,47,16,4,14,686,17,11,16,11,1,8,17,49
1189,Bahia,1–1,Palmeiras,,Bruno Arleu de Araujo,1,1,"https://fbref.com/en/matches/d34d0920/Bahia-Palmeiras-August-29-2020-Serie-A"">Match Report",49%,51%,83%,81%,11%,45%,80%,0%,15,8,23,609,10,7,8,11,1,6,19,43,16,2,10,632,19,10,16,22,4,2,20,59
1190,Fortaleza,3–0,Bragantino,,Rafael Traci,3,0,"https://fbref.com/en/matches/6c1d2632/Fortaleza-Bragantino-August-29-2020-Serie-A"">Match Report",59%,41%,87%,83%,54%,33%,100%,42%,22,3,16,725,12,9,13,14,0,8,28,90,10,4,15,545,16,7,7,15,1,7,13,39
1191,São Paulo,2–1,Corinthians,,Flavio Rodrigues De Souza,2,1,"https://fbref.com/en/matches/7acb3cf7/Classico-Majestoso-Sao-Paulo-Corinthians-August-30-2020-Serie-A"">Match Report",54%,47%,86%,78%,36%,71%,80%,60%,16,7,25,628,9,9,11,7,2,6,19,53,22,4,11,537,20,10,14,21,1,10,16,50
1192,Santos,0–1,Flamengo,,Wilton Sampaio,0,1,"https://fbref.com/en/matches/c2c26db3/Santos-Flamengo-August-30-2020-Serie-A"">Match Report",52%,48%,85%,80%,23%,60%,83%,100%,14,9,20,619,14,17,5,4,5,5,19,44,26,2,8,564,15,15,13,16,1,11,17,57
1193,Coritiba,1–0,Sport Recife,,Raphael Claus,1,0,"https://fbref.com/en/matches/10885b14/Coritiba-Sport-Recife-August-30-2020-Serie-A"">Match Report",58%,42%,86%,79%,23%,29%,50%,66%,14,5,16,731,20,7,20,18,0,12,17,68,19,2,24,555,20,16,10,12,1,5,24,61
1194,Atl Goianiense,0–2,Ceará,,Igor Junior Benevenuto,0,2,"https://fbref.com/en/matches/7d4a03dd/Atletico-Goianiense-Ceara-August-30-2020-Serie-A"">Match Report",54%,46%,80%,73%,29%,40%,50%,100%,16,4,18,562,14,13,17,14,1,6,33,53,11,4,17,503,21,11,18,21,2,12,26,68
1195,Ceará,1–0,Fortaleza,,Luiz Flávio de Oliveira,1,0,"https://fbref.com/en/matches/0acda5da/Ceara-Fortaleza-September-2-2020-Serie-A"">Match Report",27%,73%,71%,85%,44%,0%,%,75%,22,2,9,411,18,16,22,26,4,10,14,39,18,6,17,788,13,3,21,7,2,7,35,94
1196,Goiás,1–2,Corinthians,,Jose Mendonca da Silva Junior,1,2,"https://fbref.com/en/matches/b590bed3/Goias-Corinthians-September-2-2020-Serie-A"">Match Report",46%,54%,85%,87%,27%,36%,75%,100%,16,3,15,632,18,14,9,22,1,9,22,66,12,6,29,697,15,8,13,18,0,6,21,55
1197,Fluminense,1–1,Atl Goianiense,,Marielson Alves Silva,1,1,"https://fbref.com/en/matches/8236c867/Fluminense-Atletico-Goianiense-September-2-2020-Serie-A"">Match Report",43%,57%,78%,85%,36%,18%,66%,75%,14,2,10,543,15,12,10,17,0,16,17,61,16,9,30,672,19,9,17,12,1,7,26,42
1198,Bahia,3–5,Flamengo,,Savio Pereira,3,5,"https://fbref.com/en/matches/02951d5e/Bahia-Flamengo-September-2-2020-Serie-A"">Match Report",42%,58%,83%,86%,44%,45%,33%,42%,8,5,16,642,19,15,10,12,2,13,13,55,17,6,11,824,17,14,19,12,2,7,21,45
1199,Botafogo (RJ),0–0,Coritiba,,Felipe Fernandes de Lima,0,0,"https://fbref.com/en/matches/3f7225a6/Botafogo-RJ-Coritiba-September-2-2020-Serie-A"">Match Report",55%,45%,84%,80%,35%,43%,100%,83%,23,6,22,680,14,8,17,8,1,4,21,65,21,6,16,595,11,16,6,19,0,6,13,60
1200,Atl Paranaense,1–1,Bragantino,,Wagner do Nascimento Magalhaes,1,1,"https://fbref.com/en/matches/56cdc4ae/Atletico-Paranaense-Bragantino-September-2-2020-Serie-A"">Match Report",58%,42%,84%,77%,50%,17%,66%,66%,15,2,15,679,13,9,12,16,1,11,18,57,12,8,21,559,19,15,13,13,0,5,31,66
1201,Santos,2–2,Vasco da Gama,,Rodrigo D'Alonso Ferreira,2,2,"https://fbref.com/en/matches/1f3da7a1/Santos-Vasco-da-Gama-September-2-2020-Serie-A"">Match Report",61%,39%,85%,76%,45%,33%,33%,60%,17,9,29,563,15,13,7,7,2,6,14,35,21,2,7,417,12,11,7,17,1,7,17,46
1202,Palmeiras,1–1,Internacional,,Wilton Sampaio,1,1,"https://fbref.com/en/matches/b3da9298/Palmeiras-Internacional-September-2-2020-Serie-A"">Match Report",50%,50%,73%,73%,9%,25%,50%,0%,21,5,19,553,14,19,22,7,1,6,15,71,23,4,12,542,14,7,11,12,0,6,18,71
1203,Grêmio,1–2,Sport Recife,,Dyorgines José Padovani Andrade,1,2,"https://fbref.com/en/matches/ded94a99/Gremio-Sport-Recife-September-3-2020-Serie-A"">Match Report",72%,28%,86%,60%,29%,60%,33%,75%,10,11,48,886,5,5,20,6,1,3,20,56,11,1,3,432,15,11,13,41,1,15,8,69
1204,Atlético Mineiro,3–0,São Paulo,,Jean Pierre Goncalves Lima,3,0,"https://fbref.com/en/matches/2047917b/Atletico-Mineiro-Sao-Paulo-September-3-2020-Serie-A"">Match Report",51%,49%,82%,79%,57%,46%,66%,62%,18,5,13,670,25,11,15,14,3,5,12,80,11,3,12,663,17,6,9,7,1,8,38,58
1205,Flamengo,2–1,Fortaleza,,Flavio Rodrigues De Souza,2,1,"https://fbref.com/en/matches/e0f65699/Flamengo-Fortaleza-September-5-2020-Serie-A"">Match Report",62%,38%,88%,81%,50%,50%,50%,66%,12,11,33,679,13,8,17,5,3,1,14,27,21,3,7,494,19,18,14,27,4,12,9,60
1206,Corinthians,2–2,Botafogo (RJ),,Rafael Traci,2,2,"https://fbref.com/en/matches/8bdfc1c6/Corinthians-Botafogo-RJ-September-5-2020-Serie-A"">Match Report",61%,39%,87%,83%,43%,23%,33%,66%,18,12,32,724,11,9,14,22,1,15,19,60,10,6,27,550,13,15,11,31,2,7,19,53
1207,Ceará,0–1,Santos,,Wagner Reway,0,1,"https://fbref.com/en/matches/cea23a95/Ceara-Santos-September-5-2020-Serie-A"">Match Report",63%,37%,83%,75%,46%,44%,75%,100%,18,7,24,571,10,5,9,11,1,5,18,50,18,5,16,405,12,8,9,20,2,8,13,50
1208,Bragantino,1–2,Palmeiras,,Marcelo de Lima Henrique,1,2,"https://fbref.com/en/matches/d2407b0f/Bragantino-Palmeiras-September-6-2020-Serie-A"">Match Report",38%,62%,79%,86%,20%,36%,40%,75%,23,5,16,547,17,13,4,16,1,7,16,45,12,3,21,793,19,11,14,19,2,10,18,53
1209,São Paulo,3–1,Fluminense,,Paulo Roberto Alves Júnior,3,1,"https://fbref.com/en/matches/55ad67ef/Sao-Paulo-Fluminense-September-6-2020-Serie-A"">Match Report",50%,50%,81%,81%,21%,38%,60%,0%,20,3,13,606,9,8,14,13,0,5,24,50,13,2,11,599,12,13,11,9,2,11,18,64
1210,Internacional,2–2,Bahia,,Braulio da Silva Machado,2,2,"https://fbref.com/en/matches/b53c7fc3/Internacional-Bahia-September-6-2020-Serie-A"">Match Report",62%,38%,84%,70%,56%,44%,25%,60%,11,7,26,651,16,10,15,12,0,4,22,62,11,5,14,456,16,12,19,23,1,5,25,43
1211,Vasco da Gama,1–0,Atl Paranaense,,Raphael Claus,1,0,"https://fbref.com/en/matches/483f1725/Vasco-da-Gama-Atletico-Paranaense-September-6-2020-Serie-A"">Match Report",32%,68%,75%,87%,33%,25%,100%,33%,7,3,8,473,14,10,9,20,2,4,19,54,16,2,21,769,21,11,10,3,1,8,21,48
1212,Atl Goianiense,1–1,Grêmio,,Ricardo Marques Ribeiro,1,1,"https://fbref.com/en/matches/13833f0f/Atletico-Goianiense-Gremio-September-6-2020-Serie-A"">Match Report",49%,51%,85%,83%,25%,33%,50%,50%,16,3,17,640,13,26,15,19,0,8,13,66,13,3,22,644,16,12,12,11,1,10,22,62
1213,Coritiba,0–1,Atlético Mineiro,,Diego Pombo Lopez,0,1,"https://fbref.com/en/matches/cdfdc98c/Coritiba-Atletico-Mineiro-September-6-2020-Serie-A"">Match Report",47%,53%,80%,84%,21%,11%,50%,100%,14,4,16,622,16,12,12,17,0,15,22,81,19,4,22,674,19,11,10,9,2,8,20,50
1214,Sport Recife,2–1,Goiás,,Vinicius Gomes do Amaral,2,1,"https://fbref.com/en/matches/2e3a35a4/Sport-Recife-Goias-September-6-2020-Serie-A"">Match Report",52%,48%,84%,85%,35%,40%,100%,66%,18,9,29,667,16,5,15,17,1,7,17,58,17,4,12,654,18,8,20,26,0,7,17,66
1215,Atl Paranaense,1–1,Botafogo (RJ),,Vinicius Gonçalves Dias Araujo,1,1,"https://fbref.com/en/matches/50102a8b/Atletico-Paranaense-Botafogo-RJ-September-9-2020-Serie-A"">Match Report",61%,39%,90%,82%,18%,50%,66%,66%,19,7,18,648,7,10,13,13,3,5,9,51,10,3,17,488,19,7,5,17,2,8,24,55
1216,Goiás,3–3,Coritiba,,Caio Max Augusto Vieira,3,3,"https://fbref.com/en/matches/ffa1e202/Goias-Coritiba-September-9-2020-Serie-A"">Match Report",55%,46%,86%,82%,32%,23%,0%,66%,27,9,28,630,14,12,16,11,0,6,25,55,13,2,16,585,15,13,15,25,2,8,14,59
1217,Fortaleza,1–0,Sport Recife,,Felipe Fernandes de Lima,1,0,"https://fbref.com/en/matches/7207c890/Fortaleza-Sport-Recife-September-9-2020-Serie-A"">Match Report",53%,47%,88%,83%,42%,25%,100%,60%,27,6,23,552,5,7,20,11,0,5,14,56,14,1,9,490,15,4,15,25,2,11,13,53
1218,São Paulo,1–1,Bragantino,,Savio Pereira,1,1,"https://fbref.com/en/matches/e85e429e/Sao-Paulo-Bragantino-September-9-2020-Serie-A"">Match Report",59%,41%,86%,75%,43%,20%,50%,50%,18,5,35,685,17,11,11,6,5,5,25,42,18,1,7,532,14,9,9,25,2,7,25,65
1219,Santos,3–1,Atlético Mineiro,,Wagner do Nascimento Magalhaes,3,1,"https://fbref.com/en/matches/d69d58b8/Santos-Atletico-Mineiro-September-9-2020-Serie-A"">Match Report",42%,58%,76%,79%,40%,32%,50%,25%,11,4,10,478,10,16,8,21,4,8,18,52,15,5,17,569,18,6,8,7,1,6,35,55
1220,Fluminense,1–2,Flamengo,,Raphael Claus,1,2,"https://fbref.com/en/matches/de851cc3/Fluminense-Flamengo-September-9-2020-Serie-A"">Match Report",47%,53%,85%,88%,17%,46%,66%,66%,15,7,24,645,16,8,10,11,1,7,15,50,16,6,17,701,18,11,10,21,2,6,13,56
1221,Corinthians,0–2,Palmeiras,,Leandro Pedro Vuaden,0,2,"https://fbref.com/en/matches/cef4d911/Corinthians-Palmeiras-September-10-2020-Serie-A"">Match Report",55%,46%,91%,88%,50%,38%,75%,80%,13,5,16,683,13,6,3,11,1,13,14,46,16,6,15,606,15,11,9,14,2,3,14,47
1222,Bahia,0–2,Grêmio,,Jose Mendonca da Silva Junior,0,2,"https://fbref.com/en/matches/315d1481/Bahia-Gremio-September-10-2020-Serie-A"">Match Report",50%,50%,91%,87%,35%,33%,66%,100%,12,8,24,633,9,11,7,13,1,11,14,32,9,4,13,634,10,5,11,21,2,9,15,48
1223,Internacional,2–0,Ceará,,Rodrigo D'Alonso Ferreira,2,0,"https://fbref.com/en/matches/4c9c3772/Internacional-Ceara-September-10-2020-Serie-A"">Match Report",62%,38%,82%,68%,53%,17%,0%,77%,15,10,25,710,15,13,16,23,1,8,25,71,16,3,19,486,12,10,26,19,1,8,22,60
1224,Vasco da Gama,1–2,Atl Goianiense,,Heber Roberto Lopes,1,2,"https://fbref.com/en/matches/f7549559/Vasco-da-Gama-Atletico-Goianiense-September-10-2020-Serie-A"">Match Report",54%,46%,83%,81%,56%,54%,71%,80%,15,1,10,634,14,8,14,16,0,7,18,64,23,4,21,547,17,11,7,8,1,5,20,45
1225,Atl Paranaense,1–0,Coritiba,,Jean Pierre Goncalves Lima,1,0,"https://fbref.com/en/matches/5136085c/Atletico-Paranaense-Coritiba-September-12-2020-Serie-A"">Match Report",43%,57%,87%,85%,20%,20%,100%,50%,21,9,23,538,13,8,10,19,3,8,27,62,12,6,22,640,14,9,12,21,3,5,23,61
1226,Santos,2–2,São Paulo,,Luiz Flávio de Oliveira,2,2,"https://fbref.com/en/matches/4603d7e9/Santos-Sao-Paulo-September-12-2020-Serie-A"">Match Report",55%,45%,82%,81%,50%,50%,66%,80%,18,5,19,577,18,8,13,10,1,5,18,66,20,2,14,507,13,14,13,20,3,9,18,58
1227,Grêmio,1–1,Fortaleza,,Igor Junior Benevenuto,1,1,"https://fbref.com/en/matches/4d36796c/Gremio-Fortaleza-September-13-2020-Serie-A"">Match Report",56%,44%,90%,87%,29%,67%,50%,50%,11,6,23,694,13,8,12,11,2,2,17,24,13,2,9,569,18,7,13,35,0,9,10,47
1228,Fluminense,2–1,Corinthians,,Braulio da Silva Machado,2,1,"https://fbref.com/en/matches/ac9a320f/Fluminense-Corinthians-September-13-2020-Serie-A"">Match Report",48%,52%,83%,83%,20%,33%,66%,33%,14,5,14,532,21,7,22,16,0,9,19,40,15,8,17,554,15,10,24,12,2,9,26,54
1229,Goiás,1–0,Internacional,,Flavio Rodrigues De Souza,1,0,"https://fbref.com/en/matches/56007e60/Goias-Internacional-September-13-2020-Serie-A"">Match Report",22%,79%,63%,90%,17%,33%,80%,0%,10,0,2,333,7,4,25,53,1,12,9,56,14,12,55,730,10,4,10,2,5,4,20,42
1230,Ceará,2–0,Flamengo,,Marielson Alves Silva,2,0,"https://fbref.com/en/matches/16dc1060/Ceara-Flamengo-September-13-2020-Serie-A"">Match Report",37%,63%,74%,85%,38%,18%,100%,33%,8,5,11,541,30,9,16,23,2,10,25,63,6,8,29,790,30,15,16,16,2,4,28,51
1231,Atlético Mineiro,2–1,Bragantino,,Ramon Abatti Abel,2,1,"https://fbref.com/en/matches/d7eb20ef/Atletico-Mineiro-Bragantino-September-13-2020-Serie-A"">Match Report",64%,36%,86%,75%,50%,33%,75%,71%,13,8,19,748,11,13,16,11,5,7,17,57,18,3,14,499,20,15,12,20,0,9,20,57
1232,Bahia,0–1,Atl Goianiense,,Vinicius Gomes do Amaral,0,1,"https://fbref.com/en/matches/b77fe5de/Bahia-Atletico-Goianiense-September-13-2020-Serie-A"">Match Report",53%,47%,80%,79%,22%,33%,50%,50%,16,5,13,614,15,11,15,16,5,10,25,45,20,5,18,557,8,9,12,14,1,5,24,44
1233,Palmeiras,2–2,Sport Recife,,Diego Pombo Lopez,2,2,"https://fbref.com/en/matches/1068be98/Palmeiras-Sport-Recife-September-13-2020-Serie-A"">Match Report",64%,36%,87%,76%,35%,44%,50%,71%,15,6,21,716,15,10,15,5,3,5,27,50,12,2,11,485,9,13,9,25,1,12,20,57
1234,Botafogo (RJ),2–3,Vasco da Gama,,Wilton Sampaio,2,3,"https://fbref.com/en/matches/d53f6efb/Botafogo-RJ-Vasco-da-Gama-September-13-2020-Serie-A"">Match Report",50%,50%,84%,82%,36%,50%,42%,77%,18,5,27,630,12,13,19,10,0,7,19,58,8,4,14,665,15,15,14,28,2,4,27,55
1235,Corinthians,3–2,Bahia,,Wagner do Nascimento Magalhaes,3,2,"https://fbref.com/en/matches/20cbf356/Corinthians-Bahia-September-16-2020-Serie-A"">Match Report",33%,67%,71%,89%,45%,25%,50%,40%,15,4,11,451,17,9,12,32,1,14,21,66,13,11,44,751,10,7,23,8,5,3,33,39
1236,Bragantino,4–2,Ceará,,Jefferson Ferreira de Moraes,4,2,"https://fbref.com/en/matches/9b1fcd29/Bragantino-Ceara-September-19-2020-Serie-A"">Match Report",43%,57%,77%,82%,50%,46%,66%,55%,24,5,12,500,26,10,17,25,2,9,22,69,11,9,25,615,15,7,9,10,1,7,34,62
1237,Fortaleza,1–0,Internacional,,Marielson Alves Silva,1,0,"https://fbref.com/en/matches/7c89e866/Fortaleza-Internacional-September-19-2020-Serie-A"">Match Report",42%,58%,76%,85%,25%,9%,100%,66%,9,3,14,465,9,5,22,15,2,13,18,63,20,7,23,585,15,7,18,19,2,8,23,41
1238,Atl Goianiense,3–4,Atlético Mineiro,,Edina Alves Batista,3,4,"https://fbref.com/en/matches/ee9c0e0f/Atletico-Goianiense-Atletico-Mineiro-September-19-2020-Serie-A"">Match Report",44%,56%,76%,84%,60%,64%,44%,66%,16,6,20,529,13,17,15,20,1,7,13,74,14,4,20,650,9,9,9,9,4,9,20,53
1239,Grêmio,1–1,Palmeiras,,Rodrigo D'Alonso Ferreira,1,1,"https://fbref.com/en/matches/fe3dd76a/Gremio-Palmeiras-September-20-2020-Serie-A"">Match Report",64%,37%,86%,76%,23%,22%,50%,33%,21,6,19,753,14,5,14,11,0,6,23,33,21,3,10,503,18,17,12,14,2,5,9,55
