0,1,2,3,4,5,6,7,8,9,10,11
"[('21', 'Fouls', '17')]","[('8', 'Corners', '4')]","[('19', 'Crosses', '16')]","[('596', 'Touches', '637')]","[('7', 'Tackles', '23')]","[('15', 'Interceptions', '6')]","[('11', 'Aerials Won', '12')]","[('25', 'Clearances', '31')]","[('0', 'Offsides', '3')]","[('6', 'Goal Kicks', '3')]","[('23', 'Throw Ins', '18')]","[('45', 'Long Balls', '40')]"
"[('13', 'Fouls', '19')]","[('6', 'Corners', '4')]","[('24', 'Crosses', '14')]","[('707', 'Touches', '426')]","[('19', 'Tackles', '18')]","[('13', 'Interceptions', '21')]","[('20', 'Aerials Won', '24')]","[('16', 'Clearances', '30')]","[('6', 'Offsides', '1')]","[('5', 'Goal Kicks', '8')]","[('29', 'Throw Ins', '16')]","[('63', 'Long Balls', '67')]"
"[('15', 'Fouls', '13')]","[('6', 'Corners', '6')]","[('23', 'Crosses', '27')]","[('693', 'Touches', '599')]","[('13', 'Tackles', '9')]","[('10', 'Interceptions', '11')]","[('19', 'Aerials Won', '16')]","[('32', 'Clearances', '20')]","[('3', 'Offsides', '3')]","[('5', 'Goal Kicks', '13')]","[('13', 'Throw Ins', '20')]","[('39', 'Long Balls', '42')]"
"[('24', 'Fouls', '16')]","[('7', 'Corners', '5')]","[('26', 'Crosses', '14')]","[('660', 'Touches', '555')]","[('14', 'Tackles', '24')]","[('17', 'Interceptions', '18')]","[('24', 'Aerials Won', '11')]","[('11', 'Clearances', '30')]","[('1', 'Offsides', '1')]","[('8', 'Goal Kicks', '9')]","[('31', 'Throw Ins', '15')]","[('39', 'Long Balls', '54')]"
"[('17', 'Fouls', '14')]","[('5', 'Corners', '8')]","[('14', 'Crosses', '19')]","[('677', 'Touches', '588')]","[('16', 'Tackles', '11')]","[('12', 'Interceptions', '22')]","[('6', 'Aerials Won', '17')]","[('12', 'Clearances', '13')]","[('0', 'Offsides', '1')]","[('4', 'Goal Kicks', '4')]","[('26', 'Throw Ins', '20')]","[('47', 'Long Balls', '53')]"
"[('21', 'Fouls', '19')]","[('5', 'Corners', '6')]","[('23', 'Crosses', '27')]","[('541', 'Touches', '563')]","[('17', 'Tackles', '12')]","[('17', 'Interceptions', '16')]","[('11', 'Aerials Won', '12')]","[('21', 'Clearances', '13')]","[('0', 'Offsides', '3')]","[('10', 'Goal Kicks', '11')]","[('18', 'Throw Ins', '27')]","[('58', 'Long Balls', '56')]"
"[('9', 'Fouls', '16')]","[('2', 'Corners', '11')]","[('14', 'Crosses', '39')]","[('579', 'Touches', '739')]","[('10', 'Tackles', '12')]","[('12', 'Interceptions', '12')]","[('21', 'Aerials Won', '14')]","[('48', 'Clearances', '17')]","[('1', 'Offsides', '1')]","[('13', 'Goal Kicks', '5')]","[('29', 'Throw Ins', '23')]","[('42', 'Long Balls', '40')]"
"[('13', 'Fouls', '20')]","[('6', 'Corners', '3')]","[('33', 'Crosses', '14')]","[('676', 'Touches', '579')]","[('25', 'Tackles', '17')]","[('14', 'Interceptions', '17')]","[('11', 'Aerials Won', '13')]","[('15', 'Clearances', '34')]","[('1', 'Offsides', '1')]","[('4', 'Goal Kicks', '9')]","[('23', 'Throw Ins', '22')]","[('63', 'Long Balls', '57')]"
"[('20', 'Fouls', '7')]","[('7', 'Corners', '4')]","[('21', 'Crosses', '15')]","[('533', 'Touches', '691')]","[('18', 'Tackles', '12')]","[('20', 'Interceptions', '22')]","[('8', 'Aerials Won', '19')]","[('19', 'Clearances', '19')]","[('0', 'Offsides', '2')]","[('6', 'Goal Kicks', '5')]","[('20', 'Throw Ins', '20')]","[('78', 'Long Balls', '78')]"
"[('22', 'Fouls', '14')]","[('8', 'Corners', '6')]","[('25', 'Crosses', '21')]","[('586', 'Touches', '545')]","[('8', 'Tackles', '15')]","[('11', 'Interceptions', '14')]","[('19', 'Aerials Won', '17')]","[('20', 'Clearances', '42')]","[('1', 'Offsides', '0')]","[('9', 'Goal Kicks', '4')]","[('19', 'Throw Ins', '16')]","[('63', 'Long Balls', '38')]"
"[('9', 'Fouls', '18')]","[('3', 'Corners', '6')]","[('22', 'Crosses', '25')]","[('805', 'Touches', '553')]","[('12', 'Tackles', '17')]","[('11', 'Interceptions', '17')]","[('11', 'Aerials Won', '7')]","[('29', 'Clearances', '22')]","[('1', 'Offsides', '1')]","[('9', 'Goal Kicks', '6')]","[('21', 'Throw Ins', '29')]","[('45', 'Long Balls', '47')]"
"[('2', 'Fouls', '10')]","[('3', 'Corners', '5')]","[('20', 'Crosses', '28')]","[('638', 'Touches', '733')]","[('23', 'Tackles', '12')]","[('19', 'Interceptions', '16')]","[('7', 'Aerials Won', '12')]","[('22', 'Clearances', '9')]","[('1', 'Offsides', '4')]","[('13', 'Goal Kicks', '9')]","[('10', 'Throw Ins', '17')]","[('51', 'Long Balls', '53')]"
"[('18', 'Fouls', '13')]","[('0', 'Corners', '8')]","[('6', 'Crosses', '20')]","[('821', 'Touches', '551')]","[('18', 'Tackles', '9')]","[('10', 'Interceptions', '8')]","[('8', 'Aerials Won', '11')]","[('17', 'Clearances', '14')]","[('2', 'Offsides', '1')]","[('6', 'Goal Kicks', '4')]","[('16', 'Throw Ins', '22')]","[('62', 'Long Balls', '35')]"
"[('20', 'Fouls', '12')]","[('2', 'Corners', '8')]","[('13', 'Crosses', '24')]","[('472', 'Touches', '758')]","[('16', 'Tackles', '19')]","[('14', 'Interceptions', '11')]","[('14', 'Aerials Won', '14')]","[('45', 'Clearances', '14')]","[('5', 'Offsides', '0')]","[('5', 'Goal Kicks', '6')]","[('21', 'Throw Ins', '22')]","[('45', 'Long Balls', '42')]"
"[('14', 'Fouls', '12')]","[('12', 'Corners', '5')]","[('38', 'Crosses', '17')]","[('519', 'Touches', '605')]","[('14', 'Tackles', '11')]","[('14', 'Interceptions', '17')]","[('14', 'Aerials Won', '22')]","[('26', 'Clearances', '39')]","[('2', 'Offsides', '4')]","[('8', 'Goal Kicks', '10')]","[('23', 'Throw Ins', '23')]","[('42', 'Long Balls', '63')]"
"[('19', 'Fouls', '17')]","[('4', 'Corners', '7')]","[('14', 'Crosses', '28')]","[('510', 'Touches', '634')]","[('12', 'Tackles', '20')]","[('10', 'Interceptions', '10')]","[('13', 'Aerials Won', '9')]","[('27', 'Clearances', '31')]","[('0', 'Offsides', '0')]","[('12', 'Goal Kicks', '10')]","[('25', 'Throw Ins', '18')]","[('35', 'Long Balls', '45')]"
"[('22', 'Fouls', '17')]","[('7', 'Corners', '5')]","[('12', 'Crosses', '18')]","[('667', 'Touches', '614')]","[('24', 'Tackles', '20')]","[('17', 'Interceptions', '12')]","[('12', 'Aerials Won', '5')]","[('28', 'Clearances', '28')]","[('1', 'Offsides', '1')]","[('5', 'Goal Kicks', '13')]","[('18', 'Throw Ins', '22')]","[('50', 'Long Balls', '42')]"
"[('7', 'Fouls', '10')]","[('5', 'Corners', '4')]","[('21', 'Crosses', '15')]","[('708', 'Touches', '670')]","[('17', 'Tackles', '14')]","[('15', 'Interceptions', '15')]","[('7', 'Aerials Won', '8')]","[('20', 'Clearances', '21')]","[('2', 'Offsides', '2')]","[('8', 'Goal Kicks', '14')]","[('21', 'Throw Ins', '25')]","[('18', 'Long Balls', '48')]"
"[('11', 'Fouls', '26')]","[('2', 'Corners', '2')]","[('14', 'Crosses', '21')]","[('712', 'Touches', '640')]","[('10', 'Tackles', '27')]","[('17', 'Interceptions', '15')]","[('8', 'Aerials Won', '7')]","[('22', 'Clearances', '20')]","[('2', 'Offsides', '0')]","[('9', 'Goal Kicks', '5')]","[('27', 'Throw Ins', '21')]","[('58', 'Long Balls', '55')]"
"[('11', 'Fouls', '12')]","[('5', 'Corners', '3')]","[('13', 'Crosses', '21')]","[('608', 'Touches', '723')]","[('14', 'Tackles', '20')]","[('9', 'Interceptions', '18')]","[('15', 'Aerials Won', '16')]","[('20', 'Clearances', '19')]","[('6', 'Offsides', '0')]","[('10', 'Goal Kicks', '5')]","[('20', 'Throw Ins', '27')]","[('49', 'Long Balls', '42')]"
